id,teff_16,teff,teff_84,e_teff,logg_16,logg,logg_84,e_logg,feh_16,feh,feh_84,e_feh,age_16,age,age_84,mass_16,mass,mass_84,radius_16,radius,radius_84,distance_16,distance,distance_84,luminosity_16,luminosity,luminosity_84,AV_16,AV,AV_84,nu_max_16,nu_max,nu_max_84,delta_nu_16,delta_nu,delta_nu_84
42367966886664576,-22,5962,31,39,-0.03,4.13,0.02,0.036,-0.221,-0.341,0.143,0.263,-1.00,9.24,1.32,-0.06,0.96,0.05,-0.009,1.394,0.008,-0.756,230.562,0.760,-0.029,2.214,0.037,-0.000,0.000,0.000,-92.968,1499.219,80.750,-2.461,86.006,2.103
44219132150856576,-39,6260,29,49,-0.00,4.20,0.01,0.007,-0.045,-0.599,0.049,0.067,-0.19,7.31,0.15,-0.01,0.96,0.00,-0.008,1.297,0.007,-1.676,346.887,1.350,-0.038,2.320,0.031,-0.024,0.324,0.018,-15.074,1705.468,17.183,-0.585,95.198,0.765
43994763059280640,-69,6125,59,92,-0.02,4.03,0.02,0.028,-0.119,-0.415,0.082,0.145,-0.85,6.83,0.64,-0.03,1.04,0.05,-0.011,1.622,0.013,-0.880,245.858,0.800,-0.131,3.325,0.118,-0.045,0.397,0.041,-47.446,1189.836,54.859,-1.550,71.627,1.574
6769495287504766720,0,4777,0,0,-0.00,3.51,0.00,0.000,-0.001,-1.675,0.002,0.002,-0.00,0.00,0.00,-0.00,0.50,0.00,-0.001,2.063,0.001,-0.125,282.114,0.106,-0.001,1.994,0.001,-0.001,0.284,0.001,-0.385,401.338,0.195,-0.025,32.662,0.013
6355224762423648384,-11,4808,75,75,-0.00,4.65,0.01,0.007,-0.042,-0.393,0.027,0.050,-1.42,6.30,1.04,-0.00,0.67,0.01,-0.003,0.644,0.003,-0.202,139.045,0.205,-0.001,0.199,0.014,-0.000,0.000,0.113,-54.540,5503.225,59.912,-1.449,223.615,1.696
2549524648837348608,-7,6509,9,12,-0.00,4.30,0.00,0.004,-0.014,-0.485,0.022,0.027,-0.06,3.26,0.06,-0.00,1.10,0.01,-0.006,1.235,0.007,-1.708,295.293,2.073,-0.028,2.465,0.033,-0.007,0.240,0.007,-14.473,2102.871,15.615,-0.649,107.297,0.635
38019432758518400,-89,6283,93,129,-0.04,4.13,0.02,0.043,-0.120,-0.555,0.076,0.142,-1.06,6.38,1.67,-0.07,1.02,0.05,-0.012,1.434,0.013,-1.393,302.825,1.214,-0.139,2.886,0.149,-0.063,0.478,0.059,-110.039,1476.350,74.517,-3.074,84.429,2.149
41104421868190720,-123,5985,162,204,-0.03,4.14,0.02,0.038,-0.301,-0.332,0.177,0.349,-1.12,8.92,1.66,-0.07,0.97,0.04,-0.012,1.390,0.013,-1.161,299.131,1.200,-0.154,2.234,0.218,-0.083,0.862,0.083,-105.634,1520.186,73.560,-2.860,86.649,2.035
4238134368903363712,-8,5737,5,10,-0.00,4.31,0.00,0.004,-0.023,-0.077,0.009,0.024,-0.15,9.82,0.43,-0.01,0.94,0.00,-0.004,1.125,0.003,-0.611,220.702,0.465,-0.009,1.235,0.008,-0.008,0.425,0.005,-18.478,2306.141,12.990,-0.401,116.410,0.478
4238588570283565568,-15,9807,12,20,-0.00,4.14,0.00,0.002,-0.003,-0.111,0.006,0.007,-0.00,0.38,0.00,-0.00,2.24,0.00,-0.003,2.123,0.005,-0.736,537.162,0.787,-0.184,37.354,0.148,-0.006,0.888,0.003,-4.093,1191.626,2.739,-0.177,59.877,0.120
6789757912409673088,-33,6615,38,50,-0.01,4.31,0.01,0.010,-0.042,-0.534,0.038,0.057,-0.17,2.55,0.10,-0.01,1.12,0.01,-0.012,1.222,0.012,-4.684,451.711,4.793,-0.086,2.575,0.096,-0.024,0.389,0.025,-35.466,2183.310,37.484,-1.442,109.615,1.443
6790482524932588160,-49,6281,51,71,-0.02,4.14,0.02,0.025,-0.067,-1.018,0.064,0.093,-0.80,10.11,0.82,-0.02,0.86,0.02,-0.015,1.310,0.015,-4.186,483.760,4.077,-0.073,2.407,0.075,-0.028,0.147,0.028,-53.435,1490.162,59.276,-1.964,89.222,2.124
6789832541761438592,-3,3712,3,4,-0.01,4.29,0.01,0.011,-0.021,-0.769,0.018,0.028,-0.00,0.01,0.00,-0.01,0.30,0.00,-0.002,0.651,0.002,-0.114,79.347,0.120,-0.000,0.073,0.000,-0.000,0.000,0.000,-57.587,2745.800,32.986,-1.554,147.365,1.095
6789847797485437440,-13,5848,16,21,-0.01,4.34,0.01,0.018,-0.030,-0.480,0.034,0.046,-0.92,12.05,0.81,-0.01,0.83,0.01,-0.009,1.023,0.008,-2.049,331.934,2.078,-0.013,1.103,0.014,-0.000,0.000,0.000,-59.434,2456.700,70.004,-1.874,126.660,2.172
2707610948915015552,-7,6308,8,11,-0.00,3.97,0.00,0.004,-0.025,-0.808,0.019,0.031,-0.06,6.45,0.12,-0.01,1.01,0.01,-0.002,1.715,0.003,-0.658,566.815,1.059,-0.015,4.193,0.028,-0.006,0.570,0.005,-4.402,1014.768,7.233,-0.190,64.709,0.207
2708409091279404672,-14,5791,15,20,-0.01,4.55,0.01,0.009,-0.037,-1.080,0.036,0.052,-1.13,12.38,0.80,-0.01,0.70,0.01,-0.004,0.735,0.004,-0.770,241.224,0.729,-0.003,0.547,0.004,-0.000,0.000,0.001,-49.123,4024.504,73.245,-1.503,188.189,1.871
2707731693330474240,-4,5791,7,8,-0.00,4.26,0.00,0.002,-0.013,-0.156,0.010,0.016,-0.04,10.36,0.03,-0.00,0.93,0.00,-0.002,1.191,0.004,-0.204,328.490,0.206,-0.004,1.438,0.005,-0.004,0.297,0.004,-7.007,2039.760,3.192,-0.371,107.103,0.196
2551238164694167296,-22,6087,15,26,-0.03,4.38,0.01,0.027,-0.067,-0.181,0.025,0.072,-0.22,4.02,1.56,-0.04,1.03,0.01,-0.007,1.091,0.010,-1.418,260.295,1.573,-0.016,1.471,0.018,-0.000,0.000,0.000,-145.923,2617.250,35.201,-3.838,126.416,1.284
2554419021769056768,-26,6352,113,116,-0.00,4.35,0.02,0.016,-0.028,-0.062,0.019,0.034,-0.97,1.78,0.02,-0.01,1.18,0.04,-0.006,1.202,0.006,-0.822,205.394,0.822,-0.046,2.123,0.147,-0.021,0.335,0.077,-20.731,2415.461,67.633,-0.701,116.166,1.398
3179508184073577216,-9,7294,3,10,-0.00,4.20,0.00,0.001,-0.003,-0.574,0.007,0.008,-0.00,1.96,0.00,-0.00,1.28,0.00,-0.001,1.485,0.003,-0.292,465.400,0.427,-0.009,5.607,0.012,-0.002,0.719,0.002,-3.636,1608.547,1.816,-0.154,83.517,0.080
3179533953877268224,-9,4946,9,13,-0.00,4.65,0.00,0.004,-0.022,-0.171,0.023,0.032,-0.04,0.14,0.05,-0.00,0.76,0.00,-0.003,0.678,0.004,-0.363,135.611,0.371,-0.001,0.247,0.001,-0.000,0.000,0.000,-29.873,5515.177,31.746,-1.244,219.583,1.200
6815185179657636096,-12,8410,12,18,-0.01,4.21,0.01,0.014,-0.033,-1.007,0.026,0.042,-0.04,1.82,0.06,-0.01,1.33,0.01,-0.018,1.501,0.020,-7.928,720.354,9.237,-0.231,10.115,0.300,-0.008,0.498,0.008,-28.328,1522.963,40.265,-1.215,81.231,1.553
6815122095178288128,-7,5824,7,10,-0.00,3.93,0.00,0.006,-0.008,-0.692,0.008,0.011,-0.10,11.03,0.25,-0.01,0.87,0.00,-0.015,1.686,0.009,-4.610,436.271,2.138,-0.053,2.948,0.020,-0.007,0.231,0.003,-8.962,951.138,8.996,-0.470,62.907,0.532
6408841557895664512,-22,6231,21,31,-0.00,4.41,0.00,0.005,-0.021,-0.431,0.022,0.030,-0.24,3.88,0.12,-0.00,0.98,0.01,-0.004,1.023,0.004,-1.083,296.642,1.074,-0.027,1.420,0.026,-0.019,0.312,0.018,-21.455,2795.570,28.861,-0.729,135.199,0.918
2552963229718541312,-22,7217,22,31,-0.00,4.47,0.00,0.004,-0.019,-2.689,0.034,0.038,-0.06,3.27,0.11,-0.00,0.94,0.00,-0.004,0.941,0.004,-1.512,265.048,1.461,-0.039,2.164,0.042,-0.015,0.895,0.015,-22.315,2959.612,18.578,-0.867,141.522,0.801
2556264620755792128,-27,7059,9,29,-0.00,3.96,0.00,0.003,-0.016,-1.607,0.024,0.029,-0.03,5.39,0.04,-0.00,1.00,0.00,-0.002,1.726,0.006,-0.413,445.259,0.752,-0.069,6.663,0.027,-0.015,0.720,0.004,-3.201,940.324,2.775,-0.174,60.719,0.101
2556638244255040896,-74,7195,57,93,-0.02,4.32,0.01,0.026,-0.097,-0.815,0.132,0.164,-0.27,1.52,0.13,-0.01,1.21,0.02,-0.008,1.258,0.041,-3.823,468.645,6.434,-0.157,3.877,0.066,-0.016,0.773,0.015,-100.898,2119.341,49.815,-3.696,104.194,1.350
