source_id,tic_id,ra_gaia,dec_gaia,pmra,pmdec,parallax,rv,rv_unc,teff,teff_unc,logg,logg_unc,met,met_unc,snr,tmag,Mast,Rast
5160813186542623104,141328256,45.5978890309396,-10.6996298433607,24.4575819648835,-2.68712062733337,2.56061677943848,74.314,0.96,5505.62,136,4.00344,0.18,-0.88556,0.19,63,11.0233566805963,0.924032025236952,1.59724873407961
5154276147534232832,98827241,45.6435375024655,-15.0879555408066,91.3509777481165,-0.952441691263757,4.39046656123967,63.511,1.358,5774.92,104,4.42458,0.16,-0.649507,0.11,49,11.172913518696,0.905624879867143,0.971738890329112
6806832709514227200,77117158,313.328332367635,-23.1967397706721,-25.6276090464961,-36.4556660097623,5.64699933247478,26.42,1.396,5420.68,104,4.14531,0.16,-0.501164,0.11,48,10.6282004939436,0.930331231198549,1.34668400310163
6857539299569219456,77204130,313.973655559392,-19.1918132217165,-2.78536192183231,-10.1484832905929,4.42042412765356,30.503,1.758,5570.63,104,4.62256,0.16,-0.620879,0.11,49,10.7078797981219,0.832845750957983,0.746413963290463
2623052594863809536,176106251,337.926384009769,-5.70137617312595,33.058637760096,17.8136929635802,8.60799975831711,-50.351,3.22,4003.38,95,4.69037,0.2,-0.523394,0.1,18,11.0111300423865,0.491546854233872,0.517358821753404
2609246959361745408,250997594,339.076380017204,-8.79677288639677,-3.26229104169029,-32.9836956906747,4.33781588497453,18.677,1.068,5190.71,104,4.47054,0.16,-0.614595,0.11,48,11.0886634735095,0.768331919162618,0.844344769891843
2426099688320403584,3804313,9.42183829445937,-9.44275514910152,124.866406496224,-170.65996773859,8.48737532987155,5.99,1.418,4888.33,79,4.44758,0.16,-0.549775,0.09,41,10.7221370795855,0.712966537649366,0.829903882461129
2522673990770642560,3956753,12.1962302578206,-7.7199889616909,-14.3623111563695,-25.6438521321054,3.31488280851833,-31.933,1.837,6365.44,116,4.18445,0.2,-0.667009,0.12,44,10.2869740936775,1.11778127222839,1.42609914421698
4951807300393145728,91635953,39.1547356835628,-40.857502595884,112.598350598912,46.6258714017274,9.13657124971965,28.581,1.342,4852.5,79,4.67533,0.16,-0.53183,0.09,46,10.6771236993869,0.681767806570803,0.630822613705761
4851787648192025088,146732435,45.7790400426013,-42.4096028780281,71.2395000802988,6.93718559296375,4.80431196943606,15.819,1.87,5347.38,136,4.36303,0.18,-0.969835,0.19,27,10.6790459407726,0.760471433447295,0.956707496782988
4769838499657255680,382031343,78.7344566261801,-54.806501852173,-53.2351066699911,76.3482821984037,6.78165621291824,38.975,1.62,4889.27,79,4.10605,0.16,-0.562734,0.09,55,10.6602120217457,0.792460837081511,1.29349865111396
4062718730538977792,196393432,270.427427860248,-27.9563661979975,3.3949066131957,-0.614805963014322,0.888426597626955,-1.12,23.081,7649.25,383,4.43225,0.46,-4.51938,0.41,29,9.95448238597583,0.546361151682116,0.815916926346227
6503319156095781376,370323831,341.213796009577,-59.2622567611996,-7.71355589912538,0.486334805793705,2.38953163311133,-2.836,1.229,6683.13,116,4.28569,0.2,-0.616014,0.12,53,11.0401160353911,1.1708735533195,1.2998791640614
6493500585979511808,220497341,345.500177532177,-57.0537251414224,-28.8510896921931,-64.9963751562725,4.53785574689075,-8.845,3.262,5961.61,317,4.79511,0.39,-0.805717,0.3,19,11.0084030902786,0.871140790225026,0.638695858138654
6493075727814120064,220507849,347.028798639875,-58.5467624490781,66.6563816044868,-21.2064131688955,3.52272051193714,97.05,2.547,5825.44,136,4.54678,0.18,-0.804619,0.19,27,11.3337525959868,0.862800049153505,0.830611613282812
6490596226014521600,237340178,348.167831362187,-60.2239990111503,71.4027639976199,-28.8748446468399,4.54611478587129,64.445,4.819,3987.6,87,4.43225,0.17,-0.743,0.16,29,11.2923714104759,0.483647046350068,0.684748025963677
2523805933696633216,3886770,10.8391646907567,-6.47415804744746,49.5778024469054,-124.568141701721,4.1956019522872,3.066,1.985,5740.47,136,4.40922,0.18,-0.913608,0.19,32,11.1529891123175,0.847325733916201,0.961166053608688
5117593622133076992,72587386,31.2815679441379,-27.2399113089408,-3.38590634898273,13.0913978984474,3.5102703422545,-6.893,1.579,5583.43,104,4.01136,0.16,-0.705914,0.11,41,11.4541716788358,0.980621543538682,1.62559171615983
5120977815843419904,33664177,29.8985553218284,-25.7386413864149,56.1179477073665,-10.0917927228137,4.77294738291939,65.487,2.216,5521.02,104,4.12962,0.16,-0.554655,0.11,31,11.0440834811011,0.950543977799142,1.38919289016198
5121868145384838272,344370162,30.2212194916262,-24.972322040194,40.7148744829418,-21.6353757204142,4.48289289492853,28.059,1.019,5465.79,104,4.0351,0.16,-0.514512,0.11,59,11.2193251568104,0.982480140635302,1.57458626312116
5118326996388750208,72690850,33.610089819378,-24.9520022751906,353.019393294337,-142.487856233491,9.02386207683838,32.766,2.722,5001.37,87,4.55438,0.17,-1.41346,0.16,31,10.9548950251829,0.592251576087597,0.684622994818576
5121135630121755392,72583094,31.045973741264,-24.8993216557097,32.488201860018,10.0526690214892,2.54473490660537,-31.4,1.268,6408.41,116,4.12177,0.2,-0.572495,0.12,49,11.0483238867188,1.18139358714328,1.57390002770369
5118183608904901376,72652472,32.9202616007644,-25.6896749827613,14.6155993676991,-48.9933305404638,4.94574622212754,-5.002,1.943,4000,120,4.66781,0.21,-0.896043,0.19,24,11.4088446921274,0.450997811845313,0.511576118517684
5123189998879524608,268855175,33.5104772165321,-23.1948797559463,10.4073200417974,-119.286715747942,7.27954807492737,20.86,2.721,4407.14,95,4.42458,0.2,-0.512687,0.1,23,11.2588576372937,0.609196541926683,0.779691433473111
